Model_name,Model_link,Model_experiment_details,Average_open_llm_score ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Not Available on HF,Model sha,Flagged,MoE,Average_llm_safety_score ⬆️,Non-toxicity,Non-Stereotype,AdvGLUE++,OoD,Adv Demo,Privacy,Ethics,Fairness,Experiment 🧪,Prefill (s),Decode (tokens/s),Memory (MB),Energy (tokens/kWh),chatbot_arena_rank ⬆️,Arena Elo,chatbot_arena_votes,Knowledge Cutoff,No Efficiency Data,No Safety Data,No Arena Data
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-awq-gemm-fa2,2.791,0.379,20902.143,5072.79,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-gptq-exllama-v1-eager,1.579,0.714,20339.707,9017.011,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-gptq-exllama-v2-eager,1.578,0.714,20339.707,9277.914,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-gptq-exllama-v1-sdpa,1.566,0.715,20339.706,9244.372,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-gptq-exllama-v2-sdpa,1.566,0.715,20339.706,9276.978,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-gptq-exllama-v1-fa2,1.564,0.716,20339.706,9325.744,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-gptq-exllama-v2-fa2,1.564,0.716,20339.706,9320.386,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-bnb-eager,1.529,7.727,20257.332,121037.777,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-bnb-sdpa,1.509,7.835,20257.201,128547.398,,,,,False,True,True
01-ai/Yi-34B,https://huggingface.co/01-ai/Yi-34B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B,69.42,64.59,85.69,76.35,56.23,83.03,50.64,🟢 pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,1256.0,False,cd8d59de87ea11c6453ee287ac82e5523f08c8ec,True,False,,,,,,,,,,4bit-bnb-fa2,1.507,8.024,20257.201,131518.785,,,,,False,True,True
01-ai/Yi-34B-200K,https://huggingface.co/01-ai/Yi-34B-200K,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B-200K,63.96,65.78,82.06,75.56,42.6,82.87,34.87,🟩 continuously pretrained,LlamaForCausalLM,Original,bfloat16,True,other,34.0,306.0,False,bb196389dbbfdf271b5564ce840027f8cd3386ef,True,False,,,,,,,,,,,,,,,,,,,True,True,True
01-ai/Yi-34B-Chat,https://huggingface.co/01-ai/Yi-34B-Chat,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B-Chat,65.32,65.44,84.16,74.9,55.37,80.11,31.92,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,True,Yi License,34.0,325.0,False,a99ec35331cbfc9da596af7d4538fe2efecff03c,True,False,,,,,,,,,,,,,,,33.0,1116.0,17457.0,2023/6,True,True,False
01-ai/Yi-34B-Chat,https://huggingface.co/01-ai/Yi-34B-Chat,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-34B-Chat,63.17,65.1,84.08,74.87,55.41,79.79,19.79,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,True,Yi License,34.0,325.0,False,a99ec35331cbfc9da596af7d4538fe2efecff03c,True,False,,,,,,,,,,,,,,,33.0,1116.0,17457.0,2023/6,True,True,False
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-awq-gemm-eager,0.512,2.091,4557.795,29557.958,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-awq-gemm-sdpa,0.509,2.101,4557.794,29946.055,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-awq-gemm-fa2,0.507,2.106,4557.794,29736.105,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-gptq-exllama-v2-eager,0.281,4.167,4383.673,55464.726,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-gptq-exllama-v1-eager,0.28,4.167,4383.673,54950.407,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-gptq-exllama-v1-sdpa,0.277,4.174,4383.672,55463.427,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-gptq-exllama-v2-sdpa,0.277,4.174,4383.672,55642.625,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-gptq-exllama-v1-fa2,0.277,4.185,4383.672,55739.185,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-gptq-exllama-v2-fa2,0.276,4.186,4383.672,55446.813,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,8bit-bnb-eager,0.124,8.071,6883.612,211093.006,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,8bit-bnb-sdpa,0.116,8.663,6883.612,220527.161,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,8bit-bnb-fa2,0.112,8.897,6883.612,216826.28,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-bnb-eager,0.276,14.196,4344.191,329893.376,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-bnb-sdpa,0.273,14.857,4344.06,343150.408,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-bnb-fa2,0.272,15.036,4344.06,348208.786,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,bfloat16-eager,0.09,28.1,12315.695,445924.052,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,float16-eager,0.089,28.357,12315.695,445340.416,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,bfloat16-sdpa,0.085,30.059,12315.695,450475.763,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,float16-sdpa,0.085,30.391,12315.695,442303.273,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,bfloat16-fa2,0.084,30.651,12315.695,457227.383,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,float16-fa2,0.084,30.799,12315.695,464769.906,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-awq-gemm-eager,0.512,2.091,4557.795,29557.958,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-awq-gemm-sdpa,0.509,2.101,4557.794,29946.055,,,,,False,True,True
01-ai/Yi-6B,https://huggingface.co/01-ai/Yi-6B,https://huggingface.co/datasets/open-llm-leaderboard/details_01-ai__Yi-6B,54.08,55.55,76.57,64.11,41.96,74.19,12.13,🟢 pretrained,LlamaForCausalLM,Original,float16,True,other,6.0,362.0,False,e00f7cbde45745a22625ac85c6ad5d5b9f27098d,True,False,,,,,,,,,,4bit-awq-gemm-fa2,0.507,2.106,4557.794,29736.105,,,,,False,True,True
