T,Model_name_for_merge,Model_link,Average ⬆️,Non-toxicity,Non-Stereotype,AdvGLUE++,OoD,Adv Demo,Privacy,Ethics,Fairness,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha
🟦,allenai/tulu-2-7b,https://huggingface.co/allenai/tulu-2-7b,63.56,29.46,96.6,44.62,69.3,60.49,75.82,49.0,83.21,RL-tuned,LlamaForCausalLM,bfloat16,custom,7.0,0,True,main
🟦,HuggingFaceH4/zephyr-7b-beta,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,63.24,31.97,92.6,26.81,65.58,68.68,84.18,41.03,95.07,RL-tuned,MistralForCausalLM,bfloat16,custom,7.0,0,True,main
⭕,compressed-llm/vicuna-13b-v1.3_gptq,https://huggingface.co/compressed-llm/vicuna-13b-v1.3_gptq,62.91,50.46,82.67,39.96,59.41,60.59,78.51,54.66,77.0,instruction-tuned,LlamaForCausalLM,GPTQ-8bit,custom,13.0,0,True,8bit_128g
🟢,compressed-llm/llama-2-13b-awq,https://huggingface.co/compressed-llm/llama-2-13b-awq,62.54,23.4,78.0,50.35,53.13,38.97,75.53,81.85,99.07,pretrained,LlamaForCausalLM,AWQ-3bit,custom,13.0,0,True,3bit_128g
🟢,compressed-llm/llama-2-13b-awq,https://huggingface.co/compressed-llm/llama-2-13b-awq,62.47,21.52,77.33,40.64,55.65,49.48,74.38,82.47,98.28,pretrained,LlamaForCausalLM,AWQ-8bit,custom,13.0,0,True,8bit_128g
🟢,compressed-llm/llama-2-13b-gptq,https://huggingface.co/compressed-llm/llama-2-13b-gptq,62.4,22.41,77.67,40.76,55.63,49.65,72.14,82.4,98.51,pretrained,LlamaForCausalLM,GPTQ-8bit,custom,13.0,0,True,8bit_128g
⭕,mosaicml/mpt-7b-chat,https://huggingface.co/mosaicml/mpt-7b-chat,62.29,40.0,84.6,46.2,64.26,58.25,78.93,26.11,100.0,instruction-tuned,?,bfloat16,custom,7.0,0,False,main
⭕,compressed-llm/vicuna-13b-v1.3-gptq,https://huggingface.co/compressed-llm/vicuna-13b-v1.3-gptq,61.56,51.51,90.0,31.83,53.52,49.22,75.93,48.12,92.38,instruction-tuned,LlamaForCausalLM,GPTQ-3bit,custom,13.0,0,True,3bit_128g
🟢,compressed-llm/llama-2-13b-awq,https://huggingface.co/compressed-llm/llama-2-13b-awq,61.56,22.63,74.0,43.16,54.56,46.68,74.03,78.36,99.07,pretrained,LlamaForCausalLM,AWQ-4bit,custom,13.0,0,True,4bit_128g
🟢,compressed-llm/llama-2-13b-gptq,https://huggingface.co/compressed-llm/llama-2-13b-gptq,61.03,23.75,78.67,44.06,45.27,48.22,77.72,72.83,97.7,pretrained,LlamaForCausalLM,GPTQ-3bit,custom,13.0,0,True,3bit_128g
🟢,compressed-llm/llama-2-13b-gptq,https://huggingface.co/compressed-llm/llama-2-13b-gptq,60.95,22.53,77.0,36.31,49.95,45.11,76.87,81.62,98.23,pretrained,LlamaForCausalLM,GPTQ-4bit,custom,13.0,0,True,4bit_128g
⭕,lmsys/vicuna-7b-v1.3,https://huggingface.co/lmsys/vicuna-7b-v1.3,60.62,28.0,81.0,52.16,59.1,57.99,72.96,48.22,85.53,instruction-tuned,LlamaForCausalLM,bfloat16,custom,7.0,0,True,main
⭕,compressed-llm/vicuna-13b-v1.3-awq,https://huggingface.co/compressed-llm/vicuna-13b-v1.3-awq,60.14,28.21,77.33,39.91,61.61,60.81,79.55,57.77,75.92,instruction-tuned,LlamaForCausalLM,AWQ-4bit,custom,13.0,0,True,4bit_128g
⭕,compressed-llm/vicuna-13b-v1.3-awq,https://huggingface.co/compressed-llm/vicuna-13b-v1.3-awq,60.1,29.27,82.33,39.53,59.47,62.49,79.11,54.05,74.5,instruction-tuned,LlamaForCausalLM,AWQ-8bit,custom,13.0,0,True,8bit_128g
⭕,tiiuae/falcon-7b-instruct,https://huggingface.co/tiiuae/falcon-7b-instruct,59.49,39.0,87.0,43.98,51.45,33.95,70.26,50.28,100.0,instruction-tuned,FalconForCausalLM,bfloat16,custom,7.0,0,True,main
⭕,compressed-llm/vicuna-13b-v1.3-awq,https://huggingface.co/compressed-llm/vicuna-13b-v1.3-awq,59.04,30.61,82.0,42.19,59.2,56.31,79.18,46.42,76.42,instruction-tuned,LlamaForCausalLM,AWQ-3bit,custom,13.0,0,True,3bit_128g
⭕,Open-Orca/Mistral-7B-OpenOrca,https://huggingface.co/Open-Orca/Mistral-7B-OpenOrca,58.82,30.12,79.33,47.23,73.4,62.15,77.36,34.21,66.76,instruction-tuned,MistralForCausalLM,bfloat16,custom,7.0,0,True,main
⭕,togethercomputer/RedPajama-INCITE-7B-Instruct,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Instruct,56.58,18.0,73.0,44.81,54.21,58.51,76.64,27.49,100.0,instruction-tuned,GPTNeoXForCausalLM,bfloat16,custom,7.0,0,True,main
⭕,chavinlo/alpaca-native,https://huggingface.co/chavinlo/alpaca-native,45.85,22.0,43.0,46.43,51.79,34.15,46.39,30.43,92.63,instruction-tuned,LlamaForCausalLM,bfloat16,custom,7.0,0,True,main
