Model Name (LiveBench),Organization,Global Average,Reasoning Average,Coding Average,Mathematics Average,Data Analysis Average,Language Average,IF Average,Model Link (LiveBench),Arena Rank (No Style Control),Arena Rank (With Style Control),Model Name (Arena),Arena Score,95% Confidence Interval,# of Votes,Model License,Model Knowledge Cutoff,Model Link (Arena)
deepseek-r1,DeepSeek,67.47,76.58,48.48,77.91,67.6,54.77,79.49,https://huggingface.co/deepseek-ai/DeepSeek-R1,9.0,6.0,DeepSeek-R1,1358.0,+4/-5,16077.0,MIT,Unknown,https://api-docs.deepseek.com/news/news250120
o3-mini-2025-01-31-medium,OpenAI,67.16,69.0,58.43,71.68,66.56,54.12,83.16,https://openai.com/index/openai-o3-mini/,18.0,20.0,o3-mini,1305.0,+3/-4,24877.0,Proprietary,Unknown,https://openai.com/index/openai-o3-mini/
qwq-32b,Alibaba,65.69,76.72,43.0,76.08,65.03,51.48,81.83,https://qwenlm.github.io/blog/qwq-32b/,15.0,21.0,QwQ-32B,1316.0,+6/-6,7735.0,Apache 2.0,Unknown,https://huggingface.co/Qwen/QwQ-32B
gpt-4.5-preview-2025-02-27,OpenAI,62.13,54.42,49.0,67.94,64.33,64.76,72.33,https://openai.com/index/introducing-gpt-4-5/,2.0,2.0,GPT-4.5-Preview,1398.0,+5/-6,14520.0,Proprietary,Unknown,https://openai.com/index/introducing-gpt-4-5/
gemini-2.0-flash-thinking-exp-01-21,Google,62.05,61.5,35.71,74.81,69.37,48.43,82.47,https://ai.google.dev/gemini-api/docs/thinking-mode,5.0,9.0,Gemini-2.0-Flash-Thinking-Exp-01-21,1380.0,+4/-3,26309.0,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-01-21
gemini-2.0-pro-exp-02-05,Google,61.59,61.75,35.33,68.54,68.02,52.5,83.38,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,5.0,5.0,Gemini-2.0-Pro-Exp-02-05,1380.0,+5/-4,20127.0,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-pro-exp-02-05
o3-mini-2025-01-31-low,OpenAI,59.76,55.94,50.76,61.67,62.04,48.07,80.06,https://openai.com/index/openai-o3-mini/,,,,,,,,,
gpt-4.1-2025-04-14,OpenAI,58.41,44.39,42.95,62.39,69.13,54.55,77.05,https://openai.com/index/gpt-4-1/,,,,,,,,,
claude-3-7-sonnet-20250219-base,Anthropic,58.21,49.11,32.43,64.65,63.37,63.19,76.49,https://www.anthropic.com/news/claude-3-7-sonnet,24.0,11.0,Claude 3.7 Sonnet,1293.0,+4/-5,14287.0,Proprietary,Unknown,https://www.anthropic.com/news/claude-3-7-sonnet
deepseek-v3-0324,DeepSeek,57.48,44.28,40.52,71.44,60.37,46.82,81.47,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,5.0,4.0,DeepSeek-V3-0324,1372.0,+9/-6,5888.0,MIT,Unknown,https://api-docs.deepseek.com/news/news250325
grok-3-beta,xAI,56.95,48.53,37.33,62.75,54.53,53.8,84.74,https://x.ai/blog/grok-3,2.0,4.0,Grok-3-Preview-02-24,1402.0,+5/-3,14849.0,Proprietary,Unknown,https://x.ai/blog/grok-3
chatgpt-4o-latest-2025-03-27,OpenAI,55.84,48.81,38.67,55.72,70.47,49.43,71.92,https://x.com/OpenAIDevs/status/1905335104211185999?t=pmYR2_xGFyWs1xOGuNxRsw&s=19,2.0,2.0,ChatGPT-4o-latest (2025-03-26),1407.0,+6/-6,8261.0,Proprietary,Unknown,https://x.com/OpenAI/status/1905331956856050135
gpt-4.1-mini-2025-04-14,OpenAI,55.55,53.78,47.57,58.78,64.87,38.0,70.31,https://openai.com/index/gpt-4-1/,,,,,,,,,
qwen2.5-max,Alibaba,55.14,38.53,33.81,56.87,67.93,58.37,75.35,https://qwenlm.github.io/blog/qwen2.5-max/,12.0,14.0,Qwen2.5-Max,1340.0,+4/-4,21169.0,Proprietary,Unknown,https://qwenlm.github.io/blog/qwen2.5-max/
gemini-2.0-flash-001,Google,54.89,44.25,26.19,63.19,67.55,42.39,85.79,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,9.0,14.0,Gemini-2.0-Flash-001,1354.0,+3/-4,22201.0,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001
deepseek-r1-distill-llama-70b,DeepSeek,54.69,59.81,46.62,58.8,55.93,37.05,69.94,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,,,,,,,,,
llama-4-maverick-17b-128e-instruct,Meta,54.38,43.83,37.43,60.58,59.03,49.65,75.75,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,35.0,24.0,Llama-4-Maverick-17B-128E-Instruct,1271.0,+7/-8,4917.0,Llama 4,Unknown,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct
o1-mini-2024-09-12,OpenAI,53.43,51.33,41.0,60.26,57.92,44.66,65.4,https://platform.openai.com/docs/guides/reasoning,18.0,24.0,o1-mini,1304.0,+3/-2,54960.0,Proprietary,2023/10,https://platform.openai.com/docs/models/o1
hunyuan-turbos-20250313,Tencent,50.83,38.22,23.24,57.47,75.49,34.46,76.13,https://cloud.tencent.com/document/product/1729/104753,17.0,19.0,Hunyuan-TurboS-20250226,1302.0,+8/-10,2452.0,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753
claude-3-5-sonnet-20241022,Anthropic,50.81,43.22,32.29,50.54,55.03,54.48,69.3,https://www.anthropic.com/news/3-5-models-and-computer-use,31.0,14.0,Claude 3.5 Sonnet (20241022),1283.0,+2/-2,64670.0,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use
step-2-16k-202411,StepFun,49.86,42.39,31.09,43.68,63.72,38.41,79.88,https://www.stepfun.com/#step2,17.0,24.0,Step-2-16K-Exp,1304.0,+8/-8,5128.0,Proprietary,Unknown,https://platform.stepfun.com/docs/llm/text
gpt-4o-2024-08-06,OpenAI,49.21,42.58,31.81,45.72,60.91,45.63,68.58,https://openai.com/index/hello-gpt-4o/,41.0,29.0,GPT-4o-2024-08-06,1265.0,+2/-2,47982.0,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o
deepseek-r1-distill-qwen-32b,DeepSeek,48.14,44.36,52.33,60.13,45.41,30.92,55.71,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,,,,,,,,,
grok-2-1212,xAI,48.11,36.72,26.14,55.94,54.45,45.79,69.63,https://x.ai/blog/grok-1212,28.0,29.0,Grok-2-08-13,1288.0,+2/-2,67102.0,Proprietary,2024/3,https://x.ai/blog/grok-2
gemini-2.0-flash-lite-001,Google,47.77,32.25,23.38,54.97,65.45,33.94,76.63,https://developers.googleblog.com/en/start-building-with-the-gemini-2-0-flash-family/,16.0,20.0,Gemini-2.0-Flash-Lite,1311.0,+5/-5,22122.0,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite
meta-llama-3.1-405b-instruct-turbo,Meta,47.54,40.58,28.81,40.49,55.85,43.58,75.9,https://www.together.ai/blog/meta-llama-3-1,,,,,,,,,
learnlm-1.5-pro-experimental,Google,47.49,34.86,32.38,56.71,54.97,37.86,68.16,https://ai.google.dev/gemini-api/docs/learnlm,,,,,,,,,
gpt-4o-2024-11-20,OpenAI,47.03,39.75,35.19,41.48,56.15,44.68,64.94,https://openai.com/index/hello-gpt-4o/,41.0,29.0,GPT-4o-2024-08-06,1265.0,+2/-2,47982.0,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o
gemma-3-27b-it,Google,46.63,34.42,25.43,52.27,51.45,41.31,74.9,https://blog.google/technology/developers/gemma-3/,11.0,14.0,Gemma-3-27B-it,1342.0,+5/-6,9976.0,Gemma,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it
llama-3.3-70b-instruct-turbo,Meta,45.68,32.53,24.05,41.4,49.49,43.97,82.67,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,51.0,42.0,Llama-3.3-70B-Instruct,1257.0,+2/-3,38101.0,Llama-3.3,Unknown,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct
claude-3-opus-20240229,Anthropic,45.61,32.03,23.33,42.93,57.89,53.57,63.89,https://www.anthropic.com/claude,57.0,41.0,Claude 3 Opus,1247.0,+2/-2,202697.0,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
command-a-03-2025,Cohere,45.33,36.33,20.43,45.54,50.06,36.7,82.9,https://cohere.com/blog/command-a,18.0,20.0,Command A (03-2025),1303.0,+7/-6,7547.0,CC-BY-NC-4.0,Unknown,https://cohere.com/blog/command-a
dracarys2-72b-instruct,AbacusAI,44.83,37.49,25.43,52.25,55.51,33.06,65.22,https://huggingface.co/abacusai/Dracarys2-72B-Instruct,,,,,,,,,
mistral-large-2411,Mistral AI,43.59,33.83,26.95,42.2,50.15,40.45,67.93,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,56.0,57.0,Mistral-Large-2411,1249.0,+3/-3,28985.0,MRL,Unknown,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411
qwen2.5-72b-instruct-turbo,Alibaba,43.36,34.08,21.29,51.88,51.91,36.63,64.39,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,51.0,57.0,Qwen2.5-72B-Instruct,1257.0,+2/-3,41532.0,Qwen,2024/9,https://qwenlm.github.io/blog/qwen2.5/
dracarys2-llama-3.1-70b-instruct,AbacusAI,42.97,36.67,21.24,40.3,53.98,42.37,63.24,https://huggingface.co/abacusai/Dracarys2-Llama-3.1-70B-Instruct,,,,,,,,,
gemma-3-12b-it,Google,41.25,28.61,19.09,48.14,46.56,31.27,73.83,https://blog.google/technology/developers/gemma-3/,,,,,,,,,
mistral-small-2503,Mistral AI,40.92,37.08,21.29,38.39,50.54,34.59,63.66,https://mistral.ai/news/mistral-small-3-1,69.0,74.0,Mistral-Small-24B-Instruct-2501,1217.0,+5/-4,14573.0,Apache 2.0,Unknown,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501
phi-4,Microsoft,40.68,39.06,29.09,43.03,45.17,29.33,58.38,https://huggingface.co/microsoft/Phi-4,77.0,84.0,Phi-4,1205.0,+4/-3,25224.0,MIT,Unknown,https://huggingface.co/microsoft/phi-4
meta-llama-3.1-70b-instruct-turbo,Meta,40.52,29.67,19.86,32.54,53.75,38.35,68.98,https://www.together.ai/blog/meta-llama-3-1,57.0,63.0,Meta-Llama-3.1-70B-Instruct,1248.0,+2/-2,58654.0,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
amazon.nova-pro-v1:0,Amazon,40.05,28.25,20.0,37.7,48.31,38.94,67.13,https://aws.amazon.com/ai/generative-ai/nova/,59.0,64.0,Amazon Nova Pro 1.0,1245.0,+3/-4,24285.0,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
gpt-4.1-nano-2025-04-14,OpenAI,39.72,35.58,25.29,42.39,46.59,30.96,57.54,https://openai.com/index/gpt-4-1/,,,,,,,,,
claude-3-5-haiku-20241022,Anthropic,38.49,26.19,19.86,34.84,48.45,39.71,61.88,https://www.anthropic.com/claude/haiku,65.0,43.0,Claude 3.5 Haiku (20241022),1237.0,+3/-3,33322.0,Propretary,Unknown,https://www.anthropic.com/news/3-5-models-and-computer-use
gpt-4o-mini-2024-07-18,OpenAI,37.63,25.64,25.48,38.05,49.96,29.88,56.8,https://openai.com/index/hello-gpt-4o/,36.0,43.0,GPT-4o-mini-2024-07-18,1272.0,+2/-2,71388.0,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
gemini-1.5-flash-8b-001,Google,34.37,18.69,16.48,32.17,46.27,22.87,69.72,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash-8b,70.0,83.0,Gemini-1.5-Flash-8B-001,1212.0,+3/-3,37686.0,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b
amazon.nova-lite-v1:0,Amazon,33.47,32.0,15.24,34.62,37.23,27.62,54.13,https://aws.amazon.com/ai/generative-ai/nova/,69.0,80.0,Amazon Nova Lite 1.0,1217.0,+4/-4,20648.0,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
azerogpt,SoundAI,32.7,24.47,15.95,31.81,33.95,30.73,59.31,https://azero.soundai.com/#/dashboard,,,,,,,,,
gemma-3-4b-it,Google,30.13,19.78,11.71,31.33,39.3,15.06,63.58,https://blog.google/technology/developers/gemma-3/,,,,,,,,,
command-r-plus-08-2024,Cohere,29.86,21.64,8.19,22.82,38.06,30.86,57.61,https://docs.cohere.com/docs/models,69.0,70.0,Command R+ (08-2024),1215.0,+6/-6,10539.0,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details
qwen2.5-7b-instruct-turbo,Alibaba,29.22,22.31,11.0,36.81,35.22,17.85,52.11,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,,,,,,,,,
amazon.nova-micro-v1:0,Amazon,28.65,25.42,6.14,34.15,33.95,24.19,48.04,https://aws.amazon.com/ai/generative-ai/nova/,82.0,93.0,Amazon Nova Micro 1.0,1198.0,+4/-4,20663.0,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
command-r-08-2024,Cohere,26.99,20.58,6.1,18.35,33.34,27.93,55.62,https://docs.cohere.com/docs/models,89.0,84.0,Command R (08-2024),1180.0,+5/-5,10848.0,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details
meta-llama-3.1-8b-instruct-turbo,Meta,24.95,14.78,11.05,15.08,32.82,21.1,54.9,https://www.together.ai/blog/meta-llama-3-1,91.0,109.0,Meta-Llama-3.1-8B-Instruct,1176.0,+3/-2,52597.0,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
